leto,država,id,ime,p1,p2,p3,p4,p5,p6,vsota,nagrada
1963,Romania,9861,Tiberiu Spircu,unknown,unknown,unknown,unknown,unknown,unknown,21,Bronze medal
1963,Romania,,?,unknown,unknown,unknown,unknown,unknown,unknown,18,
1963,Romania,,?,unknown,unknown,unknown,unknown,unknown,unknown,16,
1963,Romania,,?,unknown,unknown,unknown,unknown,unknown,unknown,16,
1963,Yugoslavia,9873,Franc Dacar,unknown,unknown,unknown,unknown,unknown,unknown,39,Gold medal
1963,Yugoslavia,9874,Ivan Boljevski,unknown,unknown,unknown,unknown,unknown,unknown,31,Silver medal
1963,Yugoslavia,9877,Peter Petek,unknown,unknown,unknown,unknown,unknown,unknown,28,Silver medal
1963,Yugoslavia,9872,Mila Mršević,unknown,unknown,unknown,unknown,unknown,unknown,27,Bronze medal
1963,Yugoslavia,9871,Ferenc Kalmar,unknown,unknown,unknown,unknown,unknown,unknown,16,
1963,Yugoslavia,9875,Katica Stevanović,unknown,unknown,unknown,unknown,unknown,unknown,15,
1963,Yugoslavia,9876,Stanko Vrščaj,unknown,unknown,unknown,unknown,unknown,unknown,7,
1963,Yugoslavia,9870,Valerijan Bjelik,unknown,unknown,unknown,unknown,unknown,unknown,2,
1963,Czechoslovakia,9809,Josef Daneš,6,7,5,5,6,6,35,Gold medal
1963,Czechoslovakia,9843,Jaroslav Zemánek,5,5,5,0,1,7,23,Bronze medal
1963,Czechoslovakia,,?,3,7,1,0,5,4,20,
1963,Czechoslovakia,,?,4,5,0,3,0,3,15,
1963,Czechoslovakia,,?,4,3,0,1,0,7,15,
1963,Czechoslovakia,,?,2,3,2,2,1,5,15,
1963,Czechoslovakia,,?,2,5,0,1,0,6,14,
1963,Czechoslovakia,,?,2,4,0,2,0,6,14,
1963,Bulgaria,9839,Vladimir Zaimov,6,4,7,2,0,7,26,Bronze medal
1963,Bulgaria,9840,Svetoslav Biltchev,4,1,4,1,5,7,22,Bronze medal
1963,Bulgaria,9841,Georgi Ganchev,5,1,0,1,6,8,21,Bronze medal
1963,Bulgaria,16149,Svetlozar Rulinski,4,2,0,1,5,7,19,
1963,Bulgaria,16150,Kristofor Kuzhuharov,0,3,7,2,0,6,18,
1963,Bulgaria,16151,Haim Haimov,2,1,0,0,6,8,17,
1963,Bulgaria,16152,Ljubomir Pavlov,2,0,0,0,3,7,12,
1963,Bulgaria,16153,Angel Muleshkov,5,1,0,1,0,3,10,
1963,German Democratic Republic,9845,Rolf-Günter Riedel,unknown,unknown,unknown,unknown,unknown,unknown,23,Bronze medal
1963,German Democratic Republic,9844,Uwe Kühler,unknown,unknown,unknown,unknown,unknown,unknown,22,Bronze medal
1963,German Democratic Republic,9846,Ulrich Schwarz,unknown,unknown,unknown,unknown,unknown,unknown,21,Bronze medal
1963,German Democratic Republic,12792,Rolf Thier,unknown,unknown,unknown,unknown,unknown,unknown,18,
1963,German Democratic Republic,12791,Wolfgang Schulze,unknown,unknown,unknown,unknown,unknown,unknown,17,
1963,German Democratic Republic,12790,Bernd Noack,unknown,unknown,unknown,unknown,unknown,unknown,14,
1963,German Democratic Republic,12789,Joachim Krell,unknown,unknown,unknown,unknown,unknown,unknown,13,
1963,German Democratic Republic,12788,Lutz Bernhardt,unknown,unknown,unknown,unknown,unknown,unknown,12,
1963,Poland,9856,Bronisław Wajnryb,unknown,unknown,unknown,unknown,unknown,unknown,23,Bronze medal
1963,Poland,9855,Henryk Toruńczyk,unknown,unknown,unknown,unknown,unknown,unknown,21,Bronze medal
1963,Poland,15910,Cezary Ferens,unknown,unknown,unknown,unknown,unknown,unknown,20,
1963,Poland,15911,Jacek Gancarzewicz,unknown,unknown,unknown,unknown,unknown,unknown,19,
1963,Poland,15901,Jerzy Jurkiewicz,unknown,unknown,unknown,unknown,unknown,unknown,16,
1963,Poland,15912,Marian Grudnicki,unknown,unknown,unknown,unknown,unknown,unknown,14,
1963,Poland,15915,Andrzej Szankowski,unknown,unknown,unknown,unknown,unknown,unknown,14,
